,id,category,pagePath,title
0,438,"[{""name"": ""/Sports/Individual Sports"", ""confidence"": 0.8600000143051147}]",/boy-with-cerebral-palsy-runs-race-but-gym-teacher-steps-in_1986339.html,"Boy With Cerebral Palsy Runs Race, But Gym Teacher Steps In"
1,439,"[{""name"": ""/Law & Government/Military"", ""confidence"": 0.9100000262260437}, {""name"": ""/Business & Industrial/Transportation & Logistics/Maritime Transport"", ""confidence"": 0.5199999809265137}]",/us-guided-missile-destroyer-damaged-by-japanese-tug-boat_2361658.html,US Guided-Missile Destroyer Damaged by Japanese Tug Boat
2,442,"[{""name"": ""/People & Society/Family & Relationships/Family"", ""confidence"": 0.8600000143051147}, {""name"": ""/Health"", ""confidence"": 0.6299999952316284}]",/dont-let-anyone-kiss-your-baby-says-mom-of-newborn-who-died-of-cold-sore-virus_2269606.html,‘Don’t Let Anyone Kiss Your Baby’ Says Mom of Newborn Who Died of Cold Sore Virus
3,443,"[{""name"": ""/Travel/Bus & Rail"", ""confidence"": 0.8600000143051147}, {""name"": ""/Business & Industrial/Transportation & Logistics/Rail Transport"", ""confidence"": 0.75}]",/httpwww-ntd-tv20171116tokyo-train-leaves-20-seconds-early-company-apologizes-for-severe-inconvenience_2360339.html,Tokyo-Bound Train Leaves 20 Seconds Early. Company Apologizes for ‘Severe Inconvenience’.
4,501,"[{""name"": ""/Arts & Entertainment/Visual Art & Design/Painting"", ""confidence"": 0.6800000071525574}]",/the-art-of-chinas-bird-flower-painting_2362442.html,The Art of China’s Bird-Flower Painting
5,504,"[{""name"": ""/Sensitive Subjects"", ""confidence"": 0.8700000047683716}, {""name"": ""/Law & Government/Military"", ""confidence"": 0.8299999833106995}]",/north-koreas-latest-violation-of-armistice-far-from-its-worst_2364533.html,North Korea’s Latest Violation of Armistice Far From Its Worst
6,505,"[{""name"": ""/Sensitive Subjects"", ""confidence"": 0.9100000262260437}]",/exclusive-intercepted-isis-messages-reveals-threat-to-attack-london-over-christmas_2363212.html,EXCLUSIVE: Intercepted ISIS Message Reveals Threat to Attack London Over Christmas
7,507,"[{""name"": ""/Finance/Banking"", ""confidence"": 0.949999988079071}, {""name"": ""/Business & Industrial"", ""confidence"": 0.5299999713897705}]",/royal-bank-anointed-too-big-to-fail_2364333.html,Royal Bank Anointed ‘Too Big to Fail’
8,508,"[{""name"": ""/Sensitive Subjects"", ""confidence"": 0.949999988079071}, {""name"": ""/Law & Government/Public Safety/Crime & Justice"", ""confidence"": 0.8700000047683716}]",/alleged-grandson-of-charles-manson-says-he-wants-to-bring-remains-to-florida_2364751.html,Alleged Grandson of Charles Manson Says He Wants to Bring Remains to Florida
9,509,"[{""name"": ""/Sensitive Subjects"", ""confidence"": 0.949999988079071}, {""name"": ""/Law & Government/Public Safety"", ""confidence"": 0.8199999928474426}]",/wanted-teen-crashes-car-kills-3-year-old-injures-infant_2364297.html,"Wanted Teen Crashes Car, Kills 3-Year-Old, Injures Infant"
10,510,"[{""name"": ""/People & Society/Family & Relationships"", ""confidence"": 0.6200000047683716}]",/after-decades-of-one-child-policy-gender-imbalance-causes-disproportionate-number-of-bachelors-in-china_2362368.html,China Has a Bachelor Problem: Millions of Men Will Stay Single for All Their Lives
11,511,"[{""name"": ""/Sensitive Subjects"", ""confidence"": 0.6700000166893005}, {""name"": ""/Law & Government/Military"", ""confidence"": 0.5899999737739563}, {""name"": ""/Law & Government/Public Safety"", ""confidence"": 0.5899999737739563}]",/north-korea-defector-regains-consciousness-footage-shows-getaway-under-fire_2363917.html,"North Korea Defector Regains Consciousness, Footage Shows Getaway Under Fire"
12,519,"[{""name"": ""/Law & Government/Government"", ""confidence"": 0.5199999809265137}]",/canada-in-brief-nov-23-29_2363880.html,"Canada in Brief, Nov. 23-29"
